日期,天數,週數,預估體重 (kg),每日總奶量 (ml),單次奶量 (6餐/天),單次奶量 (7餐/天)
02/20,0,1,2.93,483.0,81.0,69.0
02/21,1,1,2.931,484.0,81.0,69.0
02/22,2,1,2.933,484.0,81.0,69.0
02/23,3,1,2.934,484.0,81.0,69.0
02/24,4,1,2.936,484.0,81.0,69.0
02/25,5,1,2.937,485.0,81.0,69.0
02/26,6,1,2.939,485.0,81.0,69.0
02/27,7,2,2.94,485.0,81.0,69.0
02/28,8,2,3.077,508.0,85.0,73.0
03/01,9,2,3.213,530.0,88.0,76.0
03/02,10,2,3.35,553.0,92.0,79.0
03/03,11,2,3.388,559.0,93.0,80.0
03/04,12,2,3.426,565.0,94.0,81.0
03/05,13,2,3.463,571.0,95.0,82.0
03/06,14,3,3.501,578.0,96.0,83.0
03/07,15,3,3.539,584.0,97.0,83.0
03/08,16,3,3.577,590.0,98.0,84.0
03/09,17,3,3.614,596.0,99.0,85.0
03/10,18,3,3.652,603.0,100.0,86.0
03/11,19,3,3.69,609.0,101.0,87.0
03/12,20,3,3.728,615.0,103.0,88.0
03/13,21,4,3.766,621.0,104.0,89.0
03/14,22,4,3.803,628.0,105.0,90.0
03/15,23,4,3.841,634.0,106.0,91.0
03/16,24,4,3.879,640.0,107.0,91.0
03/17,25,4,3.917,646.0,108.0,92.0
03/18,26,4,3.954,652.0,109.0,93.0
03/19,27,4,3.992,659.0,110.0,94.0
03/20,28,5,4.03,665.0,111.0,95.0
03/21,29,5,4.065,671.0,112.0,96.0
03/22,30,5,4.1,677.0,113.0,97.0
03/23,31,5,4.135,682.0,114.0,97.0
03/24,32,5,4.17,688.0,115.0,98.0
03/25,33,5,4.205,694.0,116.0,99.0
03/26,34,5,4.24,700.0,117.0,100.0
03/27,35,6,4.275,705.0,118.0,101.0
03/28,36,6,4.31,711.0,119.0,102.0
03/29,37,6,4.345,717.0,119.0,102.0
03/30,38,6,4.38,723.0,120.0,103.0
03/31,39,6,4.415,728.0,121.0,104.0
04/01,40,6,4.45,734.0,122.0,105.0
04/02,41,6,4.485,740.0,123.0,106.0
04/03,42,7,4.52,746.0,124.0,107.0
04/04,43,7,4.555,752.0,125.0,107.0
04/05,44,7,4.59,757.0,126.0,108.0
04/06,45,7,4.625,763.0,127.0,109.0
04/07,46,7,4.66,769.0,128.0,110.0
04/08,47,7,4.695,775.0,129.0,111.0
04/09,48,7,4.73,780.0,130.0,111.0
04/10,49,8,4.765,786.0,131.0,112.0
04/11,50,8,4.8,792.0,132.0,113.0
04/12,51,8,4.835,798.0,133.0,114.0
04/13,52,8,4.87,804.0,134.0,115.0
04/14,53,8,4.905,809.0,135.0,116.0
04/15,54,8,4.94,815.0,136.0,116.0
04/16,55,8,4.975,821.0,137.0,117.0
04/17,56,9,5.01,827.0,138.0,118.0
04/18,57,9,5.038,831.0,139.0,119.0
04/19,58,9,5.066,836.0,139.0,119.0
04/20,59,9,5.094,841.0,140.0,120.0
04/21,60,9,5.122,845.0,141.0,121.0
04/22,61,9,5.15,850.0,142.0,121.0
04/23,62,9,5.178,854.0,142.0,122.0
04/24,63,10,5.206,859.0,143.0,123.0
04/25,64,10,5.234,864.0,144.0,123.0
04/26,65,10,5.262,868.0,145.0,124.0
04/27,66,10,5.29,873.0,145.0,125.0
04/28,67,10,5.318,877.0,146.0,125.0
04/29,68,10,5.346,882.0,147.0,126.0
04/30,69,10,5.374,887.0,148.0,127.0
05/01,70,11,5.402,891.0,149.0,127.0
05/02,71,11,5.43,896.0,149.0,128.0
05/03,72,11,5.458,901.0,150.0,129.0
05/04,73,11,5.486,905.0,151.0,129.0
05/05,74,11,5.514,910.0,152.0,130.0
05/06,75,11,5.542,914.0,152.0,131.0
05/07,76,11,5.57,919.0,153.0,131.0
05/08,77,12,5.598,924.0,154.0,132.0
05/09,78,12,5.626,928.0,155.0,133.0
05/10,79,12,5.654,933.0,155.0,133.0
05/11,80,12,5.682,938.0,156.0,134.0
05/12,81,12,5.71,942.0,157.0,135.0
05/13,82,12,5.738,947.0,158.0,135.0
05/14,83,12,5.766,951.0,159.0,136.0
05/15,84,13,5.794,956.0,159.0,137.0
